name,title,record_type,case_number,filing_date,jurisdiction,address,description,url
Latinvox,Organization filing - Latinvox,organization_filing,,,"New York City, NY","28 West 25th Street, New York, NY",We are a 100+ minority-owned Hispanic business and advertising communications agency helping clients communicate effectively with the U.S. Hispanic markets in a fully integrated fashion.,https://data.cityofnewyork.us/Business/Hispanic-Owned-Businesses/9z9b-6hvk
Ballet Hispanico,Organization filing - Ballet Hispanico,organization_filing,,,"New York City, NY","167 West 89th Street, New York, NY","Ballet Hispanico explores, preserves, and celebrates Latino cultures through dance. The mission unfolds in the work of the professional Company, the School of Dance, and the Education and Outreach programs. Together, these divisions celebrate the dynamic aesthetics of the Hispanic Diaspora, building new avenues of cultural dialogue and sharing the joy of dance with all communities.",https://data.cityofnewyork.us/Business/Hispanic-Owned-Businesses/9z9b-6hvk
Nuyorktricity,Organization filing - Nuyorktricity,organization_filing,,,"New York City, NY","325 3rd Avenue, New York, NY","Nuyorktricity (a.k.a. NY3) is a full service one-stop shop for all your video, graphic, and music productions.  Services include the production, direction, and editing of affordable live event coverage, promos, music videos, E.P.K.'s, television commercials, photography, feature films, and web design.",https://data.cityofnewyork.us/Business/Hispanic-Owned-Businesses/9z9b-6hvk
rhinoedit,Organization filing - rhinoedit,organization_filing,,,"New York City, NY","50 E. 42nd St., New York, NY","rhinoedit and rhinofx are committed to providing the advertising, broadcast television and feature film industries with the best in post-production services. What began as a creative editorial company has expanded into one of the largest boutiques in the industry.",https://data.cityofnewyork.us/Business/Hispanic-Owned-Businesses/9z9b-6hvk
Red Creek Productions,Organization filing - Red Creek Productions,organization_filing,,,"New York City, NY","184 Kent Avenue, New York, NY","Red Creek Productions is a film, TV spots, live events, theater and television production company. It has its headquarters in New York City and offices in Buenos Aires, Argentina and San Jose, Costa Rica. It has produced over 100 television commercials for the likes of Nintendo, Procter & Gamble and Beck's, and it's currently completing its first two feature films.",https://data.cityofnewyork.us/Business/Hispanic-Owned-Businesses/9z9b-6hvk
"The Image Factory, Inc. ","Organization filing - The Image Factory, Inc. ",organization_filing,,,"New York City, NY","244-250 West 49th Street, New York, NY","The Image Factory, Inc. is a Latin owned full-service production company handling all aspects of Film and Television production in the heart of New York City.",https://data.cityofnewyork.us/Business/Hispanic-Owned-Businesses/9z9b-6hvk
"Chica Luna Productions, Inc.","Organization filing - Chica Luna Productions, Inc.",organization_filing,,,"New York City, NY","1690 Lexington Ave, New York, NY","Chica Luna Productions is a non-profit organization that seeks to develop and support women of color who use popular media to engage social justice themes and are accountable to their communities. Founded in September 2001 by three working artists who gathered to produce progressive multi-media projects, Chica Luna has since grown to include members in both New York and Los Angeles, and has established a track record of partnering with like-minded individuals and organizations toward promoting socially conscious media by, about and for people of color.",https://data.cityofnewyork.us/Business/Hispanic-Owned-Businesses/9z9b-6hvk
Maximas Productions,Organization filing - Maximas Productions,organization_filing,,,"New York City, NY","201 East 16th Street, New York, NY","Maximas Productions is a boutique, fully functional production facility based in New York City, which combines the business acumen of Robert Rose, President with the creative talents of Renzo Devia, Creative Director and Supervising Producer. Maximas is an award winning production company that specializes in producing content for the young, U.S. born Latino market. The production company is best known for producing ""Urban Latino TV"", ""American Latino TV"", ""Sonidos"" and ""Latin Fuze.""",https://data.cityofnewyork.us/Business/Hispanic-Owned-Businesses/9z9b-6hvk
People en Espa̱ol,Organization filing - People en Espa̱ol,organization_filing,,,"New York City, NY","1271 Ave. of the Americas, New York, NY","With unparalleled access and powerful, exclusive coverage of cultural icons, trends and community, People en Espanol celebrates the pride and passion of Hispanic culture.",https://data.cityofnewyork.us/Business/Hispanic-Owned-Businesses/9z9b-6hvk
Planet Sur ,Organization filing - Planet Sur ,organization_filing,,,"New York City, NY","210 East 15th Street, New York, NY","Planet Sur is a lifestyle marketing and media company that develops innovative in-culture brand strategies through original content that engages; culture that inspires; events that entertain; marketing campaigns that call to action. Our mission is to become the go-to resource for marketers who wish to connect with cultural creative, professionals and urban influentials pushing the edge of Latin-American art, culture, music, fashion, film, media and entertainment. ",https://data.cityofnewyork.us/Business/Hispanic-Owned-Businesses/9z9b-6hvk
Latina Media Ventures,Organization filing - Latina Media Ventures,organization_filing,,,"New York City, NY","1500 Broadway, New York, NY","Our mission is to bring the U.S. Hispanic community the best, most empowering, engaging and culturally relevant content across a range of media platforms that include publishing, digital and live events. Through it all, we entertain and inspire Hispanic women with award-winning content that covers Latin culture, style, beauty, food, and music, and create products and services that have, at their core, the real Latina woman.",https://data.cityofnewyork.us/Business/Hispanic-Owned-Businesses/9z9b-6hvk
Galavision,Organization filing - Galavision,organization_filing,,,"New York City, NY","605 Third Ave., New York, NY","Mission statement: To provide a live, direct connection to the people, places and events that matter most to Hispanic America.",https://data.cityofnewyork.us/Business/Hispanic-Owned-Businesses/9z9b-6hvk
Mendoza Gomez Associates,Organization filing - Mendoza Gomez Associates,organization_filing,,,"New York City, NY","501 Fifth Avenue, New York, NY",Creative Marketing and Promotion Concepts for the Hispanic market for over 15 years,https://data.cityofnewyork.us/Business/Hispanic-Owned-Businesses/9z9b-6hvk
"BMI - Broadcast Music, Inc. (Latin Music Dept.)","Organization filing - BMI - Broadcast Music, Inc. (Latin Music Dept.)",organization_filing,,,"New York City, NY","320 West 57th Street, New York, NY","BMI is an American performing rights organization that represents approximately 300,000 songwriters, composers and music publishers in all genres of music. The non-profit-making company, founded in 1939, collects license fees on behalf of those American creators it represents, as well as thousands of creators from around the world who chose BMI for representation in the United States. The license fees BMI collects for the ""public performances"" of its repertoire of approximately 4.5 million compositions - including radio airplay, broadcast and cable television carriage, Internet and live and recorded performances by all other users of music - are then distributed as royalties to the writers, composers and copyright holders it represents.",https://data.cityofnewyork.us/Business/Hispanic-Owned-Businesses/9z9b-6hvk
Mariachi Academy of New York (MANY),Organization filing - Mariachi Academy of New York (MANY),organization_filing,,,"New York City, NY","114 East 118 Street, New York, NY","MANY is a community-led non-profit 501c3 organization devoted to preserving the rich heritage of mariachi to youth in New York. It intends to develop the skills in musical training, discipline, creativity and self-esteem while strengthening language, team working skills and a strong sense of identity.",https://data.cityofnewyork.us/Business/Hispanic-Owned-Businesses/9z9b-6hvk
BOND,Organization filing - BOND,organization_filing,,,"New York City, NY","665 Broadway, New York, NY","BOND is a dynamic full-service editorial and FX studio. Our editors, graphic designers and effects team have had many years of success creating award-winning work for Hispanic advertisers and broadcasters.",https://data.cityofnewyork.us/Business/Hispanic-Owned-Businesses/9z9b-6hvk
Soccer United Marketing,Organization filing - Soccer United Marketing,organization_filing,,,"New York City, NY","420 Fifth Ave., New York, NY","SUM is the preeminent commercial soccer company in the U.S. They hold the exclusive rights to the most  important soccer properties in the nation, including all commercial rights to Major League Soccer, the U.S. Soccer Federation and all men's and women's national teams, among others.  ",https://data.cityofnewyork.us/Business/Hispanic-Owned-Businesses/9z9b-6hvk
"Latina Media Ventures, LLC","Organization filing - Latina Media Ventures, LLC",organization_filing,,,"New York City, NY","1500 Broadway, New York, NY","Publishers of LATINA Magazine, the leading lifestyle magazine for bicultural Hispanic women in the US today. Covering the best of Latino fashion, beauty and culture, LATINA also features celebrity profiles and interviews, as well as the real women inspiring change in their communities, their families, and their jobs. ",https://data.cityofnewyork.us/Business/Hispanic-Owned-Businesses/9z9b-6hvk
