name,title,record_type,case_number,filing_date,jurisdiction,address,description,url
"Interior Department, National Park Service","Notice of Inventory Completion: University of Kansas, Lawrence, KS, and University of Tennessee, Department of Anthropology, Knoxville, TN",public_notice,2026-15707,2026-08-03,United States,,"In accordance with the Native American Graves Protection and Repatriation Act (NAGPRA), the University of Kansas (KU) and the University of Tennessee, Knoxville, Department of Anthropology (UTK) have completed an inventory of human remains and associated funerary objects and have determined that there is a cultural affiliation between the human remains and associated funerary objects and Indian Tribes or Native Hawaiian organizations in this notice.",https://www.federalregister.gov/documents/2026/08/03/2026-15707/notice-of-inventory-completion-university-of-kansas-lawrence-ks-and-university-of-tennessee
"Interior Department, National Park Service","Notice of Intended Repatriation: California State University, Sacramento, Sacramento, CA",public_notice,2026-15706,2026-08-03,United States,,"In accordance with the Native American Graves Protection and Repatriation Act (NAGPRA), the California State University, Sacramento intends to repatriate certain cultural items that meet the definition of sacred objects and that have a cultural affiliation with the Indian Tribes or Native Hawaiian organizations in this notice.",https://www.federalregister.gov/documents/2026/08/03/2026-15706/notice-of-intended-repatriation-california-state-university-sacramento-sacramento-ca
"Interior Department, National Park Service","Notice of Intended Repatriation: California State University, Sacramento, Sacramento, CA",public_notice,2026-15705,2026-08-03,United States,,"In accordance with the Native American Graves Protection and Repatriation Act (NAGPRA), the California State University, Sacramento intends to repatriate certain cultural items that meet the definition of sacred objects/objects of cultural patrimony and that have a cultural affiliation with the Indian Tribes or Native Hawaiian organizations in this notice.",https://www.federalregister.gov/documents/2026/08/03/2026-15705/notice-of-intended-repatriation-california-state-university-sacramento-sacramento-ca
"Interior Department, National Park Service","Notice of Intended Repatriation: Denver Art Museum, Denver, CO",public_notice,2026-15704,2026-08-03,United States,,"In accordance with the Native American Graves Protection and Repatriation Act (NAGPRA), the Denver Art Museum intends to repatriate a certain cultural item that meets the definition of a sacred object/ object of cultural patrimony and that has a cultural affiliation with the Indian Tribes or Native Hawaiian organizations in this notice.",https://www.federalregister.gov/documents/2026/08/03/2026-15704/notice-of-intended-repatriation-denver-art-museum-denver-co
"Interior Department, National Park Service","Notice of Inventory Completion: University of Michigan, Ann Arbor, MI",public_notice,2026-15703,2026-08-03,United States,,"In accordance with the Native American Graves Protection and Repatriation Act (NAGPRA), the University of Michigan has completed an inventory of an associated funerary object and has determined that there is a cultural affiliation between the associated funerary object and Indian Tribes or Native Hawaiian organizations in this notice.",https://www.federalregister.gov/documents/2026/08/03/2026-15703/notice-of-inventory-completion-university-of-michigan-ann-arbor-mi
"Interior Department, National Park Service","Notice of Inventory Completion: Staten Island Institute of Arts and Sciences, Staten Island, NY",public_notice,2026-15702,2026-08-03,United States,,"In accordance with the Native American Graves Protection and Repatriation Act (NAGPRA), the Staten Island Institute of Arts and Sciences (SIIAS) has completed an inventory of human remains and associated funerary objects and has determined that there is a cultural affiliation between the human remains and associated funerary objects and Indian Tribes or Native Hawaiian organizations in this notice.",https://www.federalregister.gov/documents/2026/08/03/2026-15702/notice-of-inventory-completion-staten-island-institute-of-arts-and-sciences-staten-island-ny
"Interior Department, National Park Service","Notice of Intended Repatriation: Stanford University, Stanford, CA",public_notice,2026-15701,2026-08-03,United States,,"In accordance with the Native American Graves Protection and Repatriation Act (NAGPRA), Stanford University intends to repatriate certain cultural items that meet the definition of unassociated funerary objects and that have a cultural affiliation with the Indian Tribes or Native Hawaiian organizations in this notice.",https://www.federalregister.gov/documents/2026/08/03/2026-15701/notice-of-intended-repatriation-stanford-university-stanford-ca
"Interior Department, National Park Service","Notice of Intended Repatriation: Stanford University, Stanford, CA",public_notice,2026-15700,2026-08-03,United States,,"In accordance with the Native American Graves Protection and Repatriation Act (NAGPRA), Stanford University intends to repatriate a certain cultural item that meets the definition of an object of cultural patrimony and that has a cultural affiliation with the Indian Tribes or Native Hawaiian organizations in this notice.",https://www.federalregister.gov/documents/2026/08/03/2026-15700/notice-of-intended-repatriation-stanford-university-stanford-ca
"Interior Department, National Park Service","Notice of Intended Repatriation: Stanford University, Stanford, CA",public_notice,2026-15699,2026-08-03,United States,,"In accordance with the Native American Graves Protection and Repatriation Act (NAGPRA), Stanford University intends to repatriate a certain cultural item that meets the definition of an object of cultural patrimony and that has a cultural affiliation with the Indian Tribes or Native Hawaiian organizations in this notice.",https://www.federalregister.gov/documents/2026/08/03/2026-15699/notice-of-intended-repatriation-stanford-university-stanford-ca
"Interior Department, National Park Service","Notice of Inventory Completion: St. Joseph Museums, Inc., St. Joseph, MO",public_notice,2026-15698,2026-08-03,United States,,"In accordance with the Native American Graves Protection and Repatriation Act (NAGPRA), the St. Joseph Museums, Inc has completed an inventory of human remains and associated funerary objects and has determined that there is a cultural affiliation between the human remains and associated funerary objects and Indian Tribes or Native Hawaiian organizations in this notice.",https://www.federalregister.gov/documents/2026/08/03/2026-15698/notice-of-inventory-completion-st-joseph-museums-inc-st-joseph-mo
